k,xk,f(xk),fd(xk),epsilon
783,4.50743e+214,9.01485e+214,0.628442,1.28272
784,-9.83734e+214,-1.96747e+215,-2.74127,1.4582
785,-1.70146e+215,-3.40291e+215,0.971629,0.421828
786,1.80082e+215,3.60164e+215,-0.727853,1.94482
787,6.74912e+215,1.34982e+216,-7.67552,0.733177
788,8.50773e+215,1.70155e+216,-4.42737,0.206707
789,1.2351e+216,2.4702e+216,-11.1859,0.311169
790,1.45593e+216,2.91186e+216,-1.00324,0.151677
791,4.35837e+216,8.71675e+216,-0.809643,0.665947
792,1.51245e+217,3.02491e+217,0.98957,0.711834
793,-1.54433e+217,-3.08867e+217,0.601699,1.97936
794,3.58891e+217,7.17782e+217,0.979354,1.43031
795,-3.74023e+217,-7.48046e+217,0.959176,1.95954
796,4.05861e+217,8.11722e+217,0.451506,1.92155
797,-1.39195e+218,-2.78389e+218,-35.8049,1.29158
798,-1.4697e+218,-2.9394e+218,-1.68532,0.0529032
799,-3.21382e+218,-6.42763e+218,0.99896,0.542694
800,3.22051e+218,6.44102e+218,-14.2579,1.99792
801,3.67226e+218,7.34452e+218,-13.3751,0.123017
802,4.22138e+218,8.44275e+218,-0.338635,0.13008
803,2.91531e+219,5.83062e+219,-53.2071,0.8552
804,3.02489e+219,6.04978e+219,-0.248405,0.0362272
805,2.73794e+220,5.47588e+220,-0.363558,0.88952
806,1.77999e+221,3.55997e+221,-52.9985,0.846182
807,1.84716e+221,3.69431e+221,-0.815962,0.0363646
808,6.37471e+221,1.27494e+222,0.990378,0.710237
809,-6.49858e+221,-1.29972e+222,-229.518,1.98094
810,-6.55521e+221,-1.31104e+222,0.999738,0.00863863
811,6.55865e+221,1.31173e+222,0.146481,1.99948
812,-8.2991e+222,-1.65982e+223,0.943822,1.07903
813,9.28705e+222,1.85741e+223,0.331254,1.89362
814,-4.67851e+223,-9.35702e+223,0.993858,1.1985
815,4.73634e+223,9.47267e+223,0.92435,1.98779
816,-5.51159e+223,-1.10232e+224,0.937952,1.85934
817,6.24081e+223,1.24816e+224,0.933869,1.88315
818,-7.12467e+223,-1.42493e+224,-4.17573,1.87594
819,-1.05371e+224,-2.10742e+224,-0.0352168,0.323848
820,-6.08951e+225,-1.2179e+226,0.492341,0.982696
821,1.86474e+226,3.72948e+226,0.992845,1.32656
822,-1.89162e+226,-3.78324e+226,-2.17848,1.98579
823,-3.62826e+226,-7.25652e+226,-4.38593,0.478643
824,-5.28276e+226,-1.05655e+227,-19.6904,0.313189
825,-5.81934e+226,-1.16387e+227,-2.28249,0.0922069
826,-1.09185e+227,-2.18369e+227,-13.496,0.467018
827,-1.25365e+227,-2.5073e+227,0.884062,0.129066
828,1.58246e+227,3.16492e+227,-2.6386,1.79221
829,2.78193e+227,5.56387e+227,-2.80456,0.431165
830,4.7658e+227,9.53159e+227,-1.61516,0.416271
831,1.06671e+228,2.13343e+228,0.240621,0.553226
832,-7.79964e+228,-1.55993e+229,0.284137,1.13676
833,4.71009e+229,9.42017e+229,-0.401306,1.16559
834,2.81839e+230,5.63677e+230,-8.8788,0.83288
835,3.45325e+230,6.90649e+230,0.989216,0.183844
836,-3.52854e+230,-7.05708e+230,-30.0975,1.97866
837,-3.76301e+230,-7.52603e+230,0.273032,0.0623102
838,2.38016e+231,4.76032e+231,-3039.23,1.1581
839,2.38173e+231,4.76346e+231,0.564691,0.000657628
840,-6.05379e+231,-1.21076e+232,-0.417334,1.39343
841,-3.50655e+232,-7.0131e+232,0.0819457,0.827358
842,8.20757e+233,1.64151e+234,0.77161,1.04272
843,-1.30663e+234,-2.61326e+234,-2.56808,1.62815
844,-2.32422e+234,-4.64845e+234,0.972388,0.437821
845,2.45622e+234,4.91244e+234,-67.4367,1.94626
846,2.52906e+234,5.05813e+234,0.784939,0.0288032
847,-3.91491e+234,-7.82982e+234,0.174428,1.64601
848,4.09736e+235,8.19472e+235,0.749017,1.09555
849,-6.84328e+235,-1.36866e+236,-5.22097,1.59874
850,-9.46474e+235,-1.89295e+236,-47.5416,0.276971
851,-9.86291e+235,-1.97258e+236,-2276.94,0.0403701
852,-9.87157e+235,-1.97431e+236,-31.2243,0.000877603
853,-1.05039e+236,-2.10077e+236,0.954071,0.0601968
854,1.15152e+236,2.30303e+236,-60.4349,1.91218
855,1.18962e+236,2.37925e+236,-0.833745,0.0320334
856,4.04332e+236,8.08663e+236,-0.177493,0.70578
857,4.96035e+237,9.9207e+237,-92.7746,0.918487
858,5.06728e+237,1.01346e+238,0.999366,0.0211027
859,-5.07372e+237,-1.01474e+238,-2.55269,1.99873
860,-9.04891e+237,-1.80978e+238,0.833035,0.439301
861,1.26762e+238,2.53525e+238,-2649.25,1.71385
862,1.26858e+238,2.53716e+238,0.765559,0.00075436
863,-2.04555e+238,-4.0911e+238,0.523658,1.62017
864,5.767e+238,1.1534e+239,0.812179,1.3547
865,-8.43431e+238,-1.68686e+239,-0.0571802,1.68375
866,-3.03442e+240,-6.06885e+240,0.688734,0.972205
867,5.77717e+240,1.15543e+241,-0.277069,1.52524
868,4.74793e+241,9.49585e+241,-144102,0.878322
869,4.74799e+241,9.49598e+241,-0.987583,1.38788e-005
870,1.43634e+242,2.87267e+242,-0.839365,0.669438
871,4.85877e+242,9.71755e+242,0.928254,0.704383
872,-5.60986e+242,-1.12197e+243,0.533567,1.86611
873,1.54179e+243,3.08358e+243,-2.24358,1.36385
874,2.91619e+243,5.83239e+243,0.990427,0.471301
875,-2.97256e+243,-5.94513e+243,-16.9174,1.98104
876,-3.32398e+243,-6.64797e+243,0.852291,0.105723
877,4.47613e+243,8.95227e+243,-5.21995,1.7426
878,6.19114e+243,1.23823e+244,0.873731,0.27701
879,-7.98059e+243,-1.59612e+244,-2.56922,1.77578
880,-1.41931e+244,-2.83861e+244,0.232887,0.437712
881,1.07695e+245,2.1539e+245,0.780899,1.13179
882,-1.68128e+245,-3.36255e+245,-1.72549,1.64055
883,-3.63004e+245,-7.26007e+245,-0.303687,0.536843
884,-2.75365e+246,-5.50729e+246,-4.92319,0.868173
885,-3.87229e+246,-7.74458e+246,0.860855,0.288884
886,5.12409e+246,1.02482e+247,-0.00902037,1.7557
887,1.14124e+249,2.28248e+249,0.999565,0.99551
888,-1.14223e+249,-2.28447e+249,0.401719,1.99913
889,4.54449e+249,9.08898e+249,0.846365,1.25134
890,-6.19436e+249,-1.23887e+250,-6.95759,1.73365
891,-7.97496e+249,-1.59499e+250,-13.1144,0.223274
892,-9.19118e+249,-1.83824e+250,0.972656,0.132324
893,9.70796e+249,1.94159e+250,-8272.33,1.94677
894,9.7103e+249,1.94206e+250,-128.715,0.000241712
895,9.86119e+249,1.97224e+250,0.950665,0.0153005
