file,replication,elapsed_time,quality,items
b10000.lia,18,4.741287969,102294,10000
b10000.lia,19,7.330876221,103787,10000
b10000.lia,20,20.743502239,100799,10000
b10000.lia,21,19.107972583,102902,10000
b10000.lia,22,4.364892939,99302,10000
b10000.lia,23,22.837064326,102992,10000
b10000.lia,24,4.026551662,103421,10000
b10000.lia,25,0.459144857,97492,10000
b10000.lia,26,0.441960784,97257,10000
b10000.lia,27,20.689948936,100879,10000
b10000.lia,28,21.53247004,101348,10000
b10000.lia,29,4.453523514,100480,10000
b10000.lia,30,17.937021832,102926,10000
b1000.lia,1,0.069718162,10431,1000
b1000.lia,2,0.035054021,10640,1000
b1000.lia,3,0.089327107,10269,1000
b1000.lia,4,0.014185142,9424,1000
b1000.lia,5,0.01845015,10197,1000
b1000.lia,6,0.017715805,9558,1000
b1000.lia,7,0.017223043,10293,1000
b1000.lia,8,0.023981554,9489,1000
b1000.lia,9,0.018585216,9366,1000
b1000.lia,10,0.05180551,10602,1000
b1000.lia,11,0.051302675,10473,1000
b1000.lia,12,0.067264518,10350,1000
b1000.lia,13,0.01609885,10235,1000
b1000.lia,14,0.014646564,9968,1000
b1000.lia,15,0.045160317,10391,1000
b1000.lia,16,0.01949896,10145,1000
b1000.lia,17,0.033480388,11002,1000
b1000.lia,18,0.046803774,9491,1000
b1000.lia,19,0.017947903,10398,1000
b1000.lia,20,0.020301001,9582,1000
b1000.lia,21,0.008353887,9429,1000
b1000.lia,22,0.053896651,11327,1000
b1000.lia,23,0.014406792,9028,1000
b1000.lia,24,0.022548738,9775,1000
b1000.lia,25,0.022874726,10095,1000
b1000.lia,26,0.032959114,10317,1000
b1000.lia,27,0.030493785,10578,1000
b1000.lia,28,0.007900891,9543,1000
b1000.lia,29,0.044971049,9893,1000
b1000.lia,30,0.015667446,9484,1000
b100.lia,1,0.002550535,1407,100
b100.lia,2,0.003091854,1543,100
b100.lia,3,0.003265306,1508,100
b100.lia,4,0.00237058,1106,100
b100.lia,5,0.003089803,1574,100
b100.lia,6,0.001679613,1339,100
b100.lia,7,0.001494813,1607,100
b100.lia,8,0.001937621,1393,100
b100.lia,9,0.002726272,1840,100
b100.lia,10,0.001479768,1134,100
b100.lia,11,0.003881119,1483,100
b100.lia,12,0.001983616,1355,100
b100.lia,13,0.002602891,1331,100
