threads,setsize,time
1,28,0.030000
1,28,0.103000
1,28,0.014000
1,28,0.009000
1,28,0.025000
1,28,0.020000
1,28,0.015000
1,28,0.003000
1,28,0.020000
1,28,0.004000
1,28,0.019000
1,28,0.031000
1,28,0.009000
1,28,0.021000
1,28,0.000000
1,28,0.022000
1,28,0.004000
1,28,0.014000
1,28,0.002000
1,28,0.012000
1,28,0.008000
1,28,0.006000
1,28,0.050000
1,28,0.012000
1,28,0.006000
1,28,0.001000
1,28,0.002000
1,28,0.009000
1,32,0.032000
1,32,0.037000
1,32,0.016000
1,32,0.005000
1,32,0.006000
1,32,0.092000
1,32,0.092000
1,32,0.034000
1,32,0.035000
1,32,0.058000
1,32,0.102000
1,32,0.009000
1,32,0.009000
1,32,0.043000
1,32,0.004000
1,32,0.045000
1,32,0.242000
1,32,0.081000
1,32,0.042000
1,32,0.085000
1,32,0.086000
1,32,0.015000
1,32,0.003000
1,32,0.072000
1,32,0.012000
1,32,0.014000
1,32,0.060000
1,32,0.065000
1,32,0.072000
1,32,0.003000
1,36,0.357000
1,36,0.221000
1,36,0.883000
1,36,0.221000
1,36,0.102000
1,36,0.106000
1,36,0.309000
1,36,0.162000
1,36,0.108000
1,36,0.313000
1,36,0.155000
1,36,0.030000
1,36,0.164000
1,36,0.076000
1,36,0.182000
1,36,0.024000
1,36,0.088000
1,36,0.119000
1,36,1.740000
1,36,0.706000
1,36,0.153000
1,36,0.151000
1,36,0.068000
1,36,0.032000
1,36,0.343000
1,36,0.201000
1,36,0.926000
1,36,0.239000
1,36,0.005000
1,36,55.968000
1,40,0.304000
1,40,0.312000
1,40,0.163000
1,40,3.355000
1,40,6.070000
1,40,0.321000
1,40,1.066000
1,40,0.036000
1,40,0.693000
1,40,0.287000
1,40,2.194000
1,40,0.077000
1,40,2.913000
1,40,0.110000
1,40,0.265000
1,40,0.660000
1,40,0.416000
1,40,3.387000
1,40,0.272000
1,40,0.581000
1,40,0.054000
1,40,0.269000
1,40,0.350000
1,40,3.135000
1,40,3.068000
1,40,0.005000
1,40,0.015000
1,40,0.514000
1,40,0.350000
1,40,1.360000
1,44,1.944000
1,44,26.679000
1,44,0.365000
1,44,0.242000
1,44,0.179000
1,44,5.903000
1,44,0.925000
1,44,12.319000
1,44,0.553000
1,44,0.010000
1,44,2.364000
1,44,7.929000
1,44,7.319000
1,44,4.800000
1,44,11.458000
1,44,0.009000
1,44,1.699000
1,44,3.555000
1,44,1.636000
1,44,6.312000
1,44,19.332000
1,44,4.920000
1,44,0.366000
1,44,1.134000
1,44,4.310000
1,44,7.219000
1,44,1.506000
1,44,8.772000
1,44,1.547000
1,44,1.956000
1,48,15.605000
1,48,76.703000
1,48,30.922000
1,48,6.722000
1,48,0.443000
1,48,31.425000
1,48,7.367000
1,48,15.182000
1,48,39.196000
1,48,0.824000
1,48,0.737000
1,48,52.261000
1,48,13.309000
1,48,7.042000
1,48,2.375000
1,48,4.211000
1,48,34.004000
1,48,12.834000
1,48,30.996000
1,48,29.018000
1,48,7.156000
1,48,9.901000
1,48,18.389000
1,48,1.656000
1,48,10.669000
1,48,16.063000
1,48,11.627000
1,48,3.155000
1,48,4.071000
1,48,4.174000
1,52,11.235000
1,52,104.812000
1,52,62.817000
1,52,2.293000
1,52,214.054000
1,52,21.249000
1,52,128.322000
1,52,41.877000
1,52,151.302000
1,52,0.237000
1,52,100.714000
1,52,2.013000
1,52,35.247000
1,52,61.646000
1,52,99.888000
1,52,477.985000
1,52,72.385000
1,52,92.271000
1,52,54.091000
1,52,2.357000
1,52,65.747000
1,52,70.679000
1,52,47.449000
1,52,243.783000
1,52,75.647000
1,52,37.735000
1,52,63.540000
1,52,2.777000
1,52,5.904000
1,52,35.264000
