round,accuracy,self,enemy
375,0.75,walls,stationary
376,0.056338028169014086,walls,stationary
377,0.875,walls,stationary
378,0.16666666666666666,walls,stationary
379,0.06172839506172839,walls,stationary
380,0.375,walls,stationary
381,0.24561403508771928,walls,stationary
382,0.18823529411764706,walls,stationary
383,0.2830188679245283,walls,stationary
384,0.42857142857142855,walls,stationary
385,0.5121951219512195,walls,stationary
386,0.19834710743801653,walls,stationary
387,0.0,walls,stationary
388,0.13071895424836602,walls,stationary
389,0.06542056074766354,walls,stationary
390,0.05,walls,stationary
391,0.023255813953488372,walls,stationary
392,0.14772727272727273,walls,stationary
393,0.021739130434782608,walls,stationary
394,0.12698412698412698,walls,stationary
395,0.011363636363636364,walls,stationary
396,0.10784313725490197,walls,stationary
397,0.10344827586206896,walls,stationary
398,0.6666666666666666,walls,stationary
399,0.40350877192982454,walls,stationary
400,0.036585365853658534,walls,stationary
401,0.09523809523809523,walls,stationary
402,0.29411764705882354,walls,stationary
403,0.4,walls,stationary
404,0.14432989690721648,walls,stationary
405,0.1826086956521739,walls,stationary
406,0.18181818181818182,walls,stationary
407,0.09523809523809523,walls,stationary
408,0.38596491228070173,walls,stationary
409,1.0,walls,stationary
410,0.75,walls,stationary
411,0.056910569105691054,walls,stationary
412,0.6216216216216216,walls,stationary
413,0.5517241379310345,walls,stationary
414,0.88,walls,stationary
415,0.05319148936170213,walls,stationary
416,0.35714285714285715,walls,stationary
417,0.21818181818181817,walls,stationary
418,0.25925925925925924,walls,stationary
419,0.20253164556962025,walls,stationary
420,0.48717948717948717,walls,stationary
421,0.5853658536585366,walls,stationary
422,0.18681318681318682,walls,stationary
423,0.92,walls,stationary
424,0.08333333333333333,walls,stationary
425,0.30952380952380953,walls,stationary
426,0.6486486486486487,walls,stationary
427,0.05263157894736842,walls,stationary
428,0.6666666666666666,walls,stationary
429,0.0,walls,stationary
430,0.25396825396825395,walls,stationary
431,0.2777777777777778,walls,stationary
432,0.34285714285714286,walls,stationary
433,0.07407407407407407,walls,stationary
434,0.17543859649122806,walls,stationary
435,0.39655172413793105,walls,stationary
436,0.34782608695652173,walls,stationary
437,0.20270270270270271,walls,stationary
438,0.05084745762711865,walls,stationary
439,0.59375,walls,stationary
440,0.11594202898550725,walls,stationary
441,0.8888888888888888,walls,stationary
442,0.2894736842105263,walls,stationary
443,0.17647058823529413,walls,stationary
444,0.06796116504854369,walls,stationary
445,0.07766990291262135,walls,stationary
446,0.11403508771929824,walls,stationary
447,0.42424242424242425,walls,stationary
448,0.1188118811881188,walls,stationary
449,0.06315789473684211,walls,stationary
450,0.14814814814814814,walls,stationary
451,0.058333333333333334,walls,stationary
452,0.2857142857142857,walls,stationary
453,0.1935483870967742,walls,stationary
454,0.5789473684210527,walls,stationary
455,0.25757575757575757,walls,stationary
456,0.13333333333333333,walls,stationary
457,0.12295081967213115,walls,stationary
458,1.0,walls,stationary
459,0.0,walls,stationary
460,1.0,walls,stationary
461,0.23728813559322035,walls,stationary
462,0.25757575757575757,walls,stationary
463,0.34210526315789475,walls,stationary
464,0.10687022900763359,walls,stationary
465,0.7407407407407407,walls,stationary
466,1.0,walls,stationary
467,0.0,walls,stationary
468,0.0,walls,stationary
469,0.10185185185185185,walls,stationary
470,0.46875,walls,stationary
471,0.2857142857142857,walls,stationary
472,0.09411764705882353,walls,stationary
473,0.3488372093023256,walls,stationary
474,0.011111111111111112,walls,stationary
475,0.11009174311926606,walls,stationary
476,0.36363636363636365,walls,stationary
477,0.14285714285714285,walls,stationary
478,1.0,walls,stationary
479,0.20408163265306123,walls,stationary
480,0.06422018348623854,walls,stationary
481,0.47058823529411764,walls,stationary
482,0.6296296296296297,walls,stationary
483,0.2376237623762376,walls,stationary
484,0.48484848484848486,walls,stationary
485,0.10344827586206896,walls,stationary
486,0.96,walls,stationary
487,0.8571428571428571,walls,stationary
488,0.11458333333333333,walls,stationary
489,0.0547945205479452,walls,stationary
490,0.4634146341463415,walls,stationary
491,0.039473684210526314,walls,stationary
492,0.05263157894736842,walls,stationary
493,0.027777777777777776,walls,stationary
494,0.6060606060606061,walls,stationary
495,0.17592592592592593,walls,stationary
496,0.5526315789473685,walls,stationary
497,0.5227272727272727,walls,stationary
498,0.22988505747126436,walls,stationary
499,0.20192307692307693,walls,stationary
