chunk,threads,setsize,time
10,2,36,0.062000
10,2,36,0.024000
10,2,36,0.011000
10,2,36,0.053000
10,2,40,0.023000
10,2,40,0.067000
10,2,40,0.316000
10,2,40,1.323000
10,2,40,0.210000
10,2,40,0.450000
10,2,40,1.019000
10,2,40,0.358000
10,2,40,1.029000
10,2,40,0.440000
10,2,40,0.529000
10,2,40,0.911000
10,2,40,1.615000
10,2,40,0.141000
10,2,40,0.697000
10,2,40,0.054000
10,2,40,0.373000
10,2,40,0.003000
10,2,40,1.850000
10,2,40,0.297000
10,2,40,0.096000
10,2,40,0.207000
10,2,40,1.015000
10,2,40,0.741000
10,2,40,1.078000
10,2,40,0.088000
10,2,40,0.134000
10,2,40,0.078000
10,2,40,0.106000
10,2,40,2.330000
10,2,44,0.761000
10,2,44,0.396000
10,2,44,2.747000
10,2,44,0.643000
10,2,44,0.449000
10,2,44,2.926000
10,2,44,4.132000
10,2,44,0.347000
10,2,44,0.754000
10,2,44,1.165000
10,2,44,214.969000
10,2,44,2.233000
10,2,44,0.067000
10,2,44,2.969000
10,2,44,3.700000
10,2,44,0.322000
10,2,44,8.264000
10,2,44,0.165000
10,2,44,1.351000
10,2,44,1.778000
10,2,44,1.262000
10,2,44,1.282000
10,2,44,1.931000
10,2,44,0.686000
10,2,44,3.962000
10,2,44,1.462000
10,2,44,0.207000
10,2,44,0.732000
10,2,44,3.777000
10,2,44,1.593000
10,2,48,17.114000
10,2,48,0.638000
10,2,48,9.555000
10,2,48,7.444000
10,2,48,4.026000
10,2,48,3.697000
10,2,48,20.139000
10,2,48,2.458000
10,2,48,20.781000
10,2,48,6.866000
10,2,48,20.621000
10,2,48,2.052000
10,2,48,13.723000
10,2,48,4.053000
10,2,48,4.470000
10,2,48,25.136000
10,2,48,13.208000
10,2,48,0.007000
10,2,48,0.139000
10,2,48,0.182000
10,2,48,2.255000
10,2,48,2.449000
10,2,48,12.456000
10,2,48,7.551000
10,2,48,7.873000
10,2,48,2.622000
10,2,48,4.476000
10,2,48,6.336000
10,2,48,7.733000
10,2,48,63.942000
10,2,52,36.993000
10,2,52,160.771000
10,2,52,15.891000
10,2,52,1.093000
10,2,52,47.969000
10,2,52,118.083000
10,2,52,32.646000
10,2,52,47.362000
10,2,52,66.476000
10,2,52,8.529000
10,2,52,288.565000
10,2,52,25.044000
10,2,52,4.522000
10,2,52,395.667000
10,2,52,13.625000
10,2,52,17.636000
10,2,52,13.049000
10,2,52,68.982000
10,2,52,1.969000
10,2,52,157.542000
10,2,52,2.834000
10,2,52,68.692000
10,2,52,2.328000
10,2,52,0.961000
10,2,52,3.456000
10,2,52,52.183000
10,2,52,1.380000
10,2,52,19.000000
10,2,52,3.922000
10,2,52,22.032000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.001000
100,2,4,0.000000
100,2,4,0.000000
100,2,4,0.001000
100,2,4,0.000000
100,2,4,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.001000
100,2,8,0.000000
100,2,8,0.001000
100,2,8,0.000000
100,2,8,0.001000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.000000
100,2,8,0.001000
100,2,8,0.000000
100,2,8,0.001000
100,2,8,0.000000
100,2,8,0.002000
100,2,8,0.000000
100,2,8,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.002000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.000000
100,2,12,0.001000
100,2,12,0.000000
100,2,16,0.001000
100,2,16,0.000000
