chunk,threads,setsize,time
100,4,16,0.000000
100,4,20,0.000000
100,4,20,0.000000
100,4,20,0.001000
100,4,20,0.000000
100,4,20,0.002000
100,4,24,0.001000
100,4,24,0.002000
100,4,24,0.000000
100,4,24,0.005000
100,4,24,0.001000
100,4,28,0.002000
100,4,28,0.012000
100,4,28,0.003000
100,4,28,0.002000
100,4,28,0.003000
100,4,32,0.013000
100,4,32,0.004000
100,4,32,0.015000
100,4,32,0.002000
100,4,32,0.008000
100,4,36,0.040000
100,4,36,0.074000
100,4,36,0.011000
100,4,36,0.069000
100,4,36,0.043000
100,4,40,0.428000
100,4,40,0.608000
100,4,40,0.082000
100,4,40,0.034000
100,4,40,0.541000
100,4,44,0.273000
100,4,44,5.109000
100,4,44,1.058000
100,4,44,1.196000
100,4,44,1.573000
100,4,48,23.048000
100,4,48,5.889000
100,4,48,4.649000
100,4,48,5.512000
100,4,48,8.125000
100,4,52,0.805000
100,4,52,10.066000
100,4,52,3.723000
100,4,52,22.635000
100,4,52,15.058000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.001000
1000,2,8,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,20,0.001000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,24,0.000000
1000,2,24,0.002000
1000,2,24,0.001000
1000,2,24,0.003000
1000,2,24,0.000000
1000,2,28,0.003000
1000,2,28,0.017000
1000,2,28,0.004000
1000,2,28,0.003000
1000,2,28,0.005000
1000,2,32,0.022000
1000,2,32,0.005000
1000,2,32,0.022000
1000,2,32,0.002000
1000,2,32,0.011000
1000,2,36,0.056000
1000,2,36,0.110000
1000,2,36,0.014000
1000,2,36,0.100000
1000,2,36,0.056000
1000,2,40,0.659000
1000,2,40,0.903000
1000,2,40,0.116000
1000,2,40,0.054000
1000,2,40,0.836000
1000,2,44,0.399000
1000,2,44,8.709000
1000,2,44,1.633000
1000,2,44,1.877000
1000,2,44,2.415000
1000,2,48,32.399000
1000,2,48,8.730000
1000,2,48,6.897000
1000,2,48,8.275000
1000,2,48,12.005000
1000,2,52,1.248000
1000,2,52,14.632000
1000,2,52,5.346000
1000,2,52,31.169000
1000,2,52,21.198000
1000,4,4,0.001000
1000,4,4,0.000000
1000,4,4,0.000000
1000,4,4,0.000000
1000,4,4,0.000000
1000,4,8,0.001000
1000,4,8,0.000000
1000,4,8,0.001000
1000,4,8,0.000000
1000,4,8,0.001000
1000,4,12,0.000000
1000,4,12,0.001000
1000,4,12,0.000000
1000,4,12,0.000000
1000,4,12,0.002000
1000,4,16,0.000000
1000,4,16,0.000000
1000,4,16,0.001000
1000,4,16,0.000000
1000,4,16,0.000000
1000,4,20,0.000000
1000,4,20,0.000000
1000,4,20,0.001000
1000,4,20,0.000000
1000,4,20,0.002000
1000,4,24,0.001000
1000,4,24,0.002000
1000,4,24,0.000000
1000,4,24,0.003000
1000,4,24,0.002000
1000,4,28,0.002000
1000,4,28,0.013000
1000,4,28,0.003000
1000,4,28,0.003000
1000,4,28,0.004000
1000,4,32,0.013000
1000,4,32,0.004000
1000,4,32,0.017000
1000,4,32,0.001000
1000,4,32,0.010000
1000,4,36,0.041000
1000,4,36,0.077000
1000,4,36,0.012000
1000,4,36,0.068000
1000,4,36,0.044000
1000,4,40,0.428000
1000,4,40,0.614000
1000,4,40,0.083000
1000,4,40,0.035000
1000,4,40,0.537000
1000,4,44,0.264000
1000,4,44,5.091000
1000,4,44,1.053000
1000,4,44,1.208000
1000,4,44,1.545000
1000,4,48,22.931000
1000,4,48,5.910000
1000,4,48,4.647000
1000,4,48,5.477000
1000,4,48,8.076000
1000,4,52,0.796000
1000,4,52,9.912000
1000,4,52,3.599000
1000,4,52,21.759000
1000,4,52,14.107000
